pcr_number,template,forward_primer,reverse_primer,f_tm,r_tm
PCR44,dTomato,P050,P011,66.25,66.73
PCR45,dTomato,P050,P015,66.25,66.73
PCR46,dTomato,P050,P019,66.25,66.73
PCR47,dTomato,P050,P023,66.25,66.73
PCR48,dTomato,P050,P027,66.25,66.73
PCR49,dTomato,P050,P031,66.25,66.73
PCR50,dTomato,P050,P035,66.25,66.73
PCR51,dTomato,P050,P039,66.25,66.73
PCR52,PABA-UP,P001,P051,65.35,64.98
PCR53,ACT_promoter,P052,P053,64.93,64.91
PCR54,dTomato,P054,P006,66.25,66.73
PCR55,dTomato,P054,P011,66.25,66.73
PCR56,dTomato,P054,P015,66.25,66.73
PCR57,dTomato,P054,P019,66.25,66.73
PCR58,dTomato,P054,P023,66.25,66.73
PCR59,dTomato,P054,P027,66.25,66.73
PCR60,dTomato,P054,P031,66.25,66.73
PCR61,dTomato,P054,P035,66.25,66.73
PCR62,dTomato,P054,P039,66.25,66.73
PCR63,PABA-UP,P001,P055,65.35,64.98
PCR64,TEF1_promoter,P056,P057,65.45,65.38
PCR65,dTomato,P058,P006,66.25,66.73
PCR66,dTomato,P058,P011,66.25,66.73
PCR67,dTomato,P058,P015,66.25,66.73
PCR68,dTomato,P058,P019,66.25,66.73
PCR69,dTomato,P058,P023,66.25,66.73
PCR70,dTomato,P058,P027,66.25,66.73
PCR71,dTomato,P058,P031,66.25,66.73
PCR72,dTomato,P058,P035,66.25,66.73
PCR73,dTomato,P058,P039,66.25,66.73
PCR74,PABA-UP,P001,P059,65.35,64.98
PCR75,DED1_promoter,P060,P061,65.01,64.98
PCR76,dTomato,P062,P006,66.25,66.73
PCR77,dTomato,P062,P011,66.25,66.73
PCR78,dTomato,P062,P015,66.25,66.73
PCR79,dTomato,P062,P019,66.25,66.73
PCR80,dTomato,P062,P023,66.25,66.73
PCR81,dTomato,P062,P027,66.25,66.73
PCR82,dTomato,P062,P031,66.25,66.73
PCR83,dTomato,P062,P035,66.25,66.73
PCR84,dTomato,P062,P039,66.25,66.73
PCR85,gpdA_promoter,P048,P049,65.54,65.59
PCR86,PABA-UP,P001,P063,65.35,64.98
PCR87,pkiA_promoter,P064,P065,64.83,65.21
PCR88,dTomato,P066,P006,66.25,66.73
PCR89,dTomato,P066,P011,66.25,66.73
PCR90,dTomato,P066,P015,66.25,66.73
PCR91,dTomato,P066,P019,66.25,66.73
PCR92,dTomato,P066,P023,66.25,66.73
PCR93,dTomato,P066,P027,66.25,66.73
PCR94,dTomato,P066,P031,66.25,66.73
PCR95,dTomato,P066,P035,66.25,66.73
PCR96,dTomato,P066,P039,66.25,66.73
PCR97,PABA-UP,P001,P067,65.35,64.98
PCR98,mdhA_promoter,P068,P069,65.57,65.44
PCR99,dTomato,P070,P006,66.25,66.73
PCR100,dTomato,P070,P011,66.25,66.73
PCR101,dTomato,P070,P015,66.25,66.73
PCR102,dTomato,P070,P019,66.25,66.73
PCR103,dTomato,P070,P023,66.25,66.73
PCR104,dTomato,P070,P027,66.25,66.73
PCR105,dTomato,P070,P031,66.25,66.73
PCR106,dTomato,P070,P035,66.25,66.73
PCR107,dTomato,P070,P039,66.25,66.73
PCR108,PABA-UP,P001,P071,65.35,64.98
PCR109,synthetic_temp=0.50,P072,P073,65.27,65.27
PCR110,dTomato,P074,P006,66.25,66.73
PCR111,dTomato,P074,P011,66.25,66.73
PCR112,dTomato,P074,P015,66.25,66.73
PCR113,dTomato,P074,P019,66.25,66.73
PCR114,dTomato,P074,P023,66.25,66.73
PCR115,dTomato,P074,P027,66.25,66.73
PCR116,dTomato,P074,P031,66.25,66.73
PCR117,dTomato,P074,P035,66.25,66.73
PCR118,dTomato,P074,P039,66.25,66.73
PCR119,PABA-UP,P001,P075,65.35,64.98
PCR120,synthetic_temp=1.60,P076,P077,64.28,64.55
PCR121,dTomato,P078,P006,66.25,66.73
PCR122,dTomato,P078,P011,66.25,66.73
PCR123,dTomato,P078,P015,66.25,66.73
PCR124,dTomato,P078,P019,66.25,66.73
PCR125,dTomato,P078,P023,66.25,66.73
PCR126,dTomato,P078,P027,66.25,66.73
PCR127,dTomato,P078,P031,66.25,66.73
PCR128,dTomato,P078,P035,66.25,66.73
PCR129,dTomato,P078,P039,66.25,66.73
PCR130,PABA-UP,P001,P079,65.35,64.98
PCR131,synthetic_temp=1.80,P080,P081,64.87,64.89
PCR132,dTomato,P082,P006,66.25,66.73
PCR133,dTomato,P082,P011,66.25,66.73
PCR134,dTomato,P082,P015,66.25,66.73
PCR135,dTomato,P082,P019,66.25,66.73
PCR136,dTomato,P082,P023,66.25,66.73
PCR137,dTomato,P082,P027,66.25,66.73
PCR138,dTomato,P082,P031,66.25,66.73
PCR139,dTomato,P082,P035,66.25,66.73
PCR140,dTomato,P082,P039,66.25,66.73
PCR141,PABA-UP,P001,P083,65.35,64.98
PCR142,synthetic_temp=2.50,P084,P085,65.48,66.22
PCR143,dTomato,P086,P006,66.25,66.73
PCR144,dTomato,P086,P011,66.25,66.73
PCR145,dTomato,P086,P015,66.25,66.73
PCR146,dTomato,P086,P019,66.25,66.73
PCR147,dTomato,P086,P023,66.25,66.73
PCR148,dTomato,P086,P027,66.25,66.73
PCR149,dTomato,P086,P031,66.25,66.73
PCR150,dTomato,P086,P035,66.25,66.73
PCR151,dTomato,P086,P039,66.25,66.73
PCR152,PABA-UP,P001,P087,65.35,64.98
PCR153,synthetic_temp=3.00,P088,P089,65.25,64.99
PCR154,dTomato,P090,P006,66.25,66.73
PCR155,dTomato,P090,P011,66.25,66.73
PCR156,dTomato,P090,P015,66.25,66.73
PCR157,dTomato,P090,P019,66.25,66.73
PCR158,dTomato,P090,P023,66.25,66.73
PCR159,dTomato,P090,P027,66.25,66.73
PCR160,dTomato,P090,P031,66.25,66.73
PCR161,dTomato,P090,P035,66.25,66.73
PCR162,dTomato,P090,P039,66.25,66.73
PCR163,PABA-UP,P001,P091,65.35,64.98
PCR164,synthetic_temp=3.10,P092,P093,64.78,64.35
PCR165,dTomato,P094,P006,66.25,66.73
PCR166,dTomato,P094,P011,66.25,66.73
PCR167,dTomato,P094,P015,66.25,66.73
PCR168,dTomato,P094,P019,66.25,66.73
PCR169,dTomato,P094,P023,66.25,66.73
PCR170,dTomato,P094,P027,66.25,66.73
PCR171,dTomato,P094,P031,66.25,66.73
PCR172,dTomato,P094,P035,66.25,66.73
PCR173,dTomato,P094,P039,66.25,66.73
PCR174,PABA-UP,P001,P095,65.35,64.98
PCR175,synthetic_temp=3.40,P096,P097,64.85,65.17
PCR176,dTomato,P098,P006,66.25,66.73
PCR177,dTomato,P098,P011,66.25,66.73
PCR178,dTomato,P098,P015,66.25,66.73
PCR179,dTomato,P098,P019,66.25,66.73
PCR180,dTomato,P098,P023,66.25,66.73
PCR181,dTomato,P098,P027,66.25,66.73
PCR182,dTomato,P098,P031,66.25,66.73
PCR183,dTomato,P098,P035,66.25,66.73
PCR184,dTomato,P098,P039,66.25,66.73
PCR185,PABA-UP,P001,P099,65.35,64.98
PCR186,synthetic_temp=3.50,P100,P101,64.88,64.77
PCR187,dTomato,P102,P006,66.25,66.73
PCR188,dTomato,P102,P011,66.25,66.73
PCR189,dTomato,P102,P015,66.25,66.73
PCR190,dTomato,P102,P019,66.25,66.73
PCR191,dTomato,P102,P023,66.25,66.73
PCR192,dTomato,P102,P027,66.25,66.73
PCR193,dTomato,P102,P031,66.25,66.73
PCR194,dTomato,P102,P035,66.25,66.73
PCR195,dTomato,P102,P039,66.25,66.73
PCR196,PABA-UP,P001,P103,65.35,64.98
PCR197,synthetic_temp=3.60,P104,P105,65.29,64.12
PCR198,dTomato,P106,P006,66.25,66.73
PCR199,dTomato,P106,P011,66.25,66.73
PCR200,dTomato,P106,P015,66.25,66.73
PCR201,dTomato,P106,P019,66.25,66.73
PCR202,dTomato,P106,P023,66.25,66.73
PCR203,dTomato,P106,P027,66.25,66.73
PCR204,dTomato,P106,P031,66.25,66.73
PCR205,dTomato,P106,P035,66.25,66.73
PCR206,dTomato,P106,P039,66.25,66.73
PCR207,PABA-UP,P001,P107,65.35,64.98
PCR208,synthetic_temp=3.90,P108,P109,65.37,65.76
PCR209,dTomato,P110,P006,66.25,66.73
PCR210,dTomato,P110,P011,66.25,66.73
PCR211,dTomato,P110,P015,66.25,66.73
PCR212,dTomato,P110,P019,66.25,66.73
PCR213,dTomato,P110,P023,66.25,66.73
PCR214,dTomato,P110,P027,66.25,66.73
PCR215,dTomato,P110,P031,66.25,66.73
PCR216,dTomato,P110,P035,66.25,66.73
PCR217,dTomato,P110,P039,66.25,66.73
