0,1,2,3,4,Systematic_name,Variant
PABA-UP,DED1_promoter,dTomato,gpdA_terminator,PABA-DW,"(1, 6, 1, 7, 1)",51
PABA-UP,DED1_promoter,dTomato,pkiA_terminator,PABA-DW,"(1, 6, 1, 8, 1)",52
PABA-UP,DED1_promoter,dTomato,mdhA_terminator,PABA-DW,"(1, 6, 1, 9, 1)",53
PABA-UP,gpdA_promoter,dTomato,PKG1_terminator,PABA-DW,"(1, 7, 1, 1, 1)",54
PABA-UP,gpdA_promoter,dTomato,ADH1_terminator,PABA-DW,"(1, 7, 1, 2, 1)",55
PABA-UP,gpdA_promoter,dTomato,TDH3_terminator,PABA-DW,"(1, 7, 1, 3, 1)",56
PABA-UP,gpdA_promoter,dTomato,ACT_terminator,PABA-DW,"(1, 7, 1, 4, 1)",57
PABA-UP,gpdA_promoter,dTomato,TEF1_terminator,PABA-DW,"(1, 7, 1, 5, 1)",58
PABA-UP,gpdA_promoter,dTomato,DED1_terminator,PABA-DW,"(1, 7, 1, 6, 1)",59
PABA-UP,gpdA_promoter,dTomato,gpdA_terminator,PABA-DW,"(1, 7, 1, 7, 1)",60
PABA-UP,gpdA_promoter,dTomato,pkiA_terminator,PABA-DW,"(1, 7, 1, 8, 1)",61
PABA-UP,gpdA_promoter,dTomato,mdhA_terminator,PABA-DW,"(1, 7, 1, 9, 1)",62
PABA-UP,pkiA_promoter,dTomato,PKG1_terminator,PABA-DW,"(1, 8, 1, 1, 1)",63
PABA-UP,pkiA_promoter,dTomato,ADH1_terminator,PABA-DW,"(1, 8, 1, 2, 1)",64
PABA-UP,pkiA_promoter,dTomato,TDH3_terminator,PABA-DW,"(1, 8, 1, 3, 1)",65
PABA-UP,pkiA_promoter,dTomato,ACT_terminator,PABA-DW,"(1, 8, 1, 4, 1)",66
PABA-UP,pkiA_promoter,dTomato,TEF1_terminator,PABA-DW,"(1, 8, 1, 5, 1)",67
PABA-UP,pkiA_promoter,dTomato,DED1_terminator,PABA-DW,"(1, 8, 1, 6, 1)",68
PABA-UP,pkiA_promoter,dTomato,gpdA_terminator,PABA-DW,"(1, 8, 1, 7, 1)",69
PABA-UP,pkiA_promoter,dTomato,pkiA_terminator,PABA-DW,"(1, 8, 1, 8, 1)",70
PABA-UP,pkiA_promoter,dTomato,mdhA_terminator,PABA-DW,"(1, 8, 1, 9, 1)",71
PABA-UP,mdhA_promoter,dTomato,PKG1_terminator,PABA-DW,"(1, 9, 1, 1, 1)",72
PABA-UP,mdhA_promoter,dTomato,ADH1_terminator,PABA-DW,"(1, 9, 1, 2, 1)",73
PABA-UP,mdhA_promoter,dTomato,TDH3_terminator,PABA-DW,"(1, 9, 1, 3, 1)",74
PABA-UP,mdhA_promoter,dTomato,ACT_terminator,PABA-DW,"(1, 9, 1, 4, 1)",75
PABA-UP,mdhA_promoter,dTomato,TEF1_terminator,PABA-DW,"(1, 9, 1, 5, 1)",76
PABA-UP,mdhA_promoter,dTomato,DED1_terminator,PABA-DW,"(1, 9, 1, 6, 1)",77
PABA-UP,mdhA_promoter,dTomato,gpdA_terminator,PABA-DW,"(1, 9, 1, 7, 1)",78
PABA-UP,mdhA_promoter,dTomato,pkiA_terminator,PABA-DW,"(1, 9, 1, 8, 1)",79
PABA-UP,mdhA_promoter,dTomato,mdhA_terminator,PABA-DW,"(1, 9, 1, 9, 1)",80
PABA-UP,synthetic_temp=0.50,dTomato,PKG1_terminator,PABA-DW,"(1, 10, 1, 1, 1)",81
PABA-UP,synthetic_temp=0.50,dTomato,ADH1_terminator,PABA-DW,"(1, 10, 1, 2, 1)",82
PABA-UP,synthetic_temp=0.50,dTomato,TDH3_terminator,PABA-DW,"(1, 10, 1, 3, 1)",83
PABA-UP,synthetic_temp=0.50,dTomato,ACT_terminator,PABA-DW,"(1, 10, 1, 4, 1)",84
PABA-UP,synthetic_temp=0.50,dTomato,TEF1_terminator,PABA-DW,"(1, 10, 1, 5, 1)",85
PABA-UP,synthetic_temp=0.50,dTomato,DED1_terminator,PABA-DW,"(1, 10, 1, 6, 1)",86
PABA-UP,synthetic_temp=0.50,dTomato,gpdA_terminator,PABA-DW,"(1, 10, 1, 7, 1)",87
PABA-UP,synthetic_temp=0.50,dTomato,pkiA_terminator,PABA-DW,"(1, 10, 1, 8, 1)",88
PABA-UP,synthetic_temp=0.50,dTomato,mdhA_terminator,PABA-DW,"(1, 10, 1, 9, 1)",89
PABA-UP,synthetic_temp=1.60,dTomato,PKG1_terminator,PABA-DW,"(1, 11, 1, 1, 1)",90
PABA-UP,synthetic_temp=1.60,dTomato,ADH1_terminator,PABA-DW,"(1, 11, 1, 2, 1)",91
PABA-UP,synthetic_temp=1.60,dTomato,TDH3_terminator,PABA-DW,"(1, 11, 1, 3, 1)",92
PABA-UP,synthetic_temp=1.60,dTomato,ACT_terminator,PABA-DW,"(1, 11, 1, 4, 1)",93
PABA-UP,synthetic_temp=1.60,dTomato,TEF1_terminator,PABA-DW,"(1, 11, 1, 5, 1)",94
PABA-UP,synthetic_temp=1.60,dTomato,DED1_terminator,PABA-DW,"(1, 11, 1, 6, 1)",95
PABA-UP,synthetic_temp=1.60,dTomato,gpdA_terminator,PABA-DW,"(1, 11, 1, 7, 1)",96
PABA-UP,synthetic_temp=1.60,dTomato,pkiA_terminator,PABA-DW,"(1, 11, 1, 8, 1)",97
PABA-UP,synthetic_temp=1.60,dTomato,mdhA_terminator,PABA-DW,"(1, 11, 1, 9, 1)",98
PABA-UP,synthetic_temp=1.80,dTomato,PKG1_terminator,PABA-DW,"(1, 12, 1, 1, 1)",99
PABA-UP,synthetic_temp=1.80,dTomato,ADH1_terminator,PABA-DW,"(1, 12, 1, 2, 1)",100
PABA-UP,synthetic_temp=1.80,dTomato,TDH3_terminator,PABA-DW,"(1, 12, 1, 3, 1)",101
PABA-UP,synthetic_temp=1.80,dTomato,ACT_terminator,PABA-DW,"(1, 12, 1, 4, 1)",102
PABA-UP,synthetic_temp=1.80,dTomato,TEF1_terminator,PABA-DW,"(1, 12, 1, 5, 1)",103
PABA-UP,synthetic_temp=1.80,dTomato,DED1_terminator,PABA-DW,"(1, 12, 1, 6, 1)",104
PABA-UP,synthetic_temp=1.80,dTomato,gpdA_terminator,PABA-DW,"(1, 12, 1, 7, 1)",105
PABA-UP,synthetic_temp=1.80,dTomato,pkiA_terminator,PABA-DW,"(1, 12, 1, 8, 1)",106
PABA-UP,synthetic_temp=1.80,dTomato,mdhA_terminator,PABA-DW,"(1, 12, 1, 9, 1)",107
PABA-UP,synthetic_temp=2.50,dTomato,PKG1_terminator,PABA-DW,"(1, 13, 1, 1, 1)",108
PABA-UP,synthetic_temp=2.50,dTomato,ADH1_terminator,PABA-DW,"(1, 13, 1, 2, 1)",109
PABA-UP,synthetic_temp=2.50,dTomato,TDH3_terminator,PABA-DW,"(1, 13, 1, 3, 1)",110
PABA-UP,synthetic_temp=2.50,dTomato,ACT_terminator,PABA-DW,"(1, 13, 1, 4, 1)",111
PABA-UP,synthetic_temp=2.50,dTomato,TEF1_terminator,PABA-DW,"(1, 13, 1, 5, 1)",112
PABA-UP,synthetic_temp=2.50,dTomato,DED1_terminator,PABA-DW,"(1, 13, 1, 6, 1)",113
PABA-UP,synthetic_temp=2.50,dTomato,gpdA_terminator,PABA-DW,"(1, 13, 1, 7, 1)",114
PABA-UP,synthetic_temp=2.50,dTomato,pkiA_terminator,PABA-DW,"(1, 13, 1, 8, 1)",115
PABA-UP,synthetic_temp=2.50,dTomato,mdhA_terminator,PABA-DW,"(1, 13, 1, 9, 1)",116
PABA-UP,synthetic_temp=3.00,dTomato,PKG1_terminator,PABA-DW,"(1, 14, 1, 1, 1)",117
PABA-UP,synthetic_temp=3.00,dTomato,ADH1_terminator,PABA-DW,"(1, 14, 1, 2, 1)",118
PABA-UP,synthetic_temp=3.00,dTomato,TDH3_terminator,PABA-DW,"(1, 14, 1, 3, 1)",119
PABA-UP,synthetic_temp=3.00,dTomato,ACT_terminator,PABA-DW,"(1, 14, 1, 4, 1)",120
PABA-UP,synthetic_temp=3.00,dTomato,TEF1_terminator,PABA-DW,"(1, 14, 1, 5, 1)",121
PABA-UP,synthetic_temp=3.00,dTomato,DED1_terminator,PABA-DW,"(1, 14, 1, 6, 1)",122
PABA-UP,synthetic_temp=3.00,dTomato,gpdA_terminator,PABA-DW,"(1, 14, 1, 7, 1)",123
PABA-UP,synthetic_temp=3.00,dTomato,pkiA_terminator,PABA-DW,"(1, 14, 1, 8, 1)",124
PABA-UP,synthetic_temp=3.00,dTomato,mdhA_terminator,PABA-DW,"(1, 14, 1, 9, 1)",125
PABA-UP,synthetic_temp=3.10,dTomato,PKG1_terminator,PABA-DW,"(1, 15, 1, 1, 1)",126
PABA-UP,synthetic_temp=3.10,dTomato,ADH1_terminator,PABA-DW,"(1, 15, 1, 2, 1)",127
PABA-UP,synthetic_temp=3.10,dTomato,TDH3_terminator,PABA-DW,"(1, 15, 1, 3, 1)",128
PABA-UP,synthetic_temp=3.10,dTomato,ACT_terminator,PABA-DW,"(1, 15, 1, 4, 1)",129
PABA-UP,synthetic_temp=3.10,dTomato,TEF1_terminator,PABA-DW,"(1, 15, 1, 5, 1)",130
PABA-UP,synthetic_temp=3.10,dTomato,DED1_terminator,PABA-DW,"(1, 15, 1, 6, 1)",131
PABA-UP,synthetic_temp=3.10,dTomato,gpdA_terminator,PABA-DW,"(1, 15, 1, 7, 1)",132
PABA-UP,synthetic_temp=3.10,dTomato,pkiA_terminator,PABA-DW,"(1, 15, 1, 8, 1)",133
PABA-UP,synthetic_temp=3.10,dTomato,mdhA_terminator,PABA-DW,"(1, 15, 1, 9, 1)",134
PABA-UP,synthetic_temp=3.40,dTomato,PKG1_terminator,PABA-DW,"(1, 16, 1, 1, 1)",135
PABA-UP,synthetic_temp=3.40,dTomato,ADH1_terminator,PABA-DW,"(1, 16, 1, 2, 1)",136
PABA-UP,synthetic_temp=3.40,dTomato,TDH3_terminator,PABA-DW,"(1, 16, 1, 3, 1)",137
PABA-UP,synthetic_temp=3.40,dTomato,ACT_terminator,PABA-DW,"(1, 16, 1, 4, 1)",138
PABA-UP,synthetic_temp=3.40,dTomato,TEF1_terminator,PABA-DW,"(1, 16, 1, 5, 1)",139
PABA-UP,synthetic_temp=3.40,dTomato,DED1_terminator,PABA-DW,"(1, 16, 1, 6, 1)",140
PABA-UP,synthetic_temp=3.40,dTomato,gpdA_terminator,PABA-DW,"(1, 16, 1, 7, 1)",141
PABA-UP,synthetic_temp=3.40,dTomato,pkiA_terminator,PABA-DW,"(1, 16, 1, 8, 1)",142
PABA-UP,synthetic_temp=3.40,dTomato,mdhA_terminator,PABA-DW,"(1, 16, 1, 9, 1)",143
PABA-UP,synthetic_temp=3.50,dTomato,PKG1_terminator,PABA-DW,"(1, 17, 1, 1, 1)",144
PABA-UP,synthetic_temp=3.50,dTomato,ADH1_terminator,PABA-DW,"(1, 17, 1, 2, 1)",145
PABA-UP,synthetic_temp=3.50,dTomato,TDH3_terminator,PABA-DW,"(1, 17, 1, 3, 1)",146
PABA-UP,synthetic_temp=3.50,dTomato,ACT_terminator,PABA-DW,"(1, 17, 1, 4, 1)",147
PABA-UP,synthetic_temp=3.50,dTomato,TEF1_terminator,PABA-DW,"(1, 17, 1, 5, 1)",148
PABA-UP,synthetic_temp=3.50,dTomato,DED1_terminator,PABA-DW,"(1, 17, 1, 6, 1)",149
PABA-UP,synthetic_temp=3.50,dTomato,gpdA_terminator,PABA-DW,"(1, 17, 1, 7, 1)",150
PABA-UP,synthetic_temp=3.50,dTomato,pkiA_terminator,PABA-DW,"(1, 17, 1, 8, 1)",151
PABA-UP,synthetic_temp=3.50,dTomato,mdhA_terminator,PABA-DW,"(1, 17, 1, 9, 1)",152
PABA-UP,synthetic_temp=3.60,dTomato,PKG1_terminator,PABA-DW,"(1, 18, 1, 1, 1)",153
PABA-UP,synthetic_temp=3.60,dTomato,ADH1_terminator,PABA-DW,"(1, 18, 1, 2, 1)",154
PABA-UP,synthetic_temp=3.60,dTomato,TDH3_terminator,PABA-DW,"(1, 18, 1, 3, 1)",155
PABA-UP,synthetic_temp=3.60,dTomato,ACT_terminator,PABA-DW,"(1, 18, 1, 4, 1)",156
PABA-UP,synthetic_temp=3.60,dTomato,TEF1_terminator,PABA-DW,"(1, 18, 1, 5, 1)",157
PABA-UP,synthetic_temp=3.60,dTomato,DED1_terminator,PABA-DW,"(1, 18, 1, 6, 1)",158
PABA-UP,synthetic_temp=3.60,dTomato,gpdA_terminator,PABA-DW,"(1, 18, 1, 7, 1)",159
PABA-UP,synthetic_temp=3.60,dTomato,pkiA_terminator,PABA-DW,"(1, 18, 1, 8, 1)",160
PABA-UP,synthetic_temp=3.60,dTomato,mdhA_terminator,PABA-DW,"(1, 18, 1, 9, 1)",161
PABA-UP,synthetic_temp=3.90,dTomato,PKG1_terminator,PABA-DW,"(1, 19, 1, 1, 1)",162
PABA-UP,synthetic_temp=3.90,dTomato,ADH1_terminator,PABA-DW,"(1, 19, 1, 2, 1)",163
PABA-UP,synthetic_temp=3.90,dTomato,TDH3_terminator,PABA-DW,"(1, 19, 1, 3, 1)",164
PABA-UP,synthetic_temp=3.90,dTomato,ACT_terminator,PABA-DW,"(1, 19, 1, 4, 1)",165
PABA-UP,synthetic_temp=3.90,dTomato,TEF1_terminator,PABA-DW,"(1, 19, 1, 5, 1)",166
PABA-UP,synthetic_temp=3.90,dTomato,DED1_terminator,PABA-DW,"(1, 19, 1, 6, 1)",167
PABA-UP,synthetic_temp=3.90,dTomato,gpdA_terminator,PABA-DW,"(1, 19, 1, 7, 1)",168
PABA-UP,synthetic_temp=3.90,dTomato,pkiA_terminator,PABA-DW,"(1, 19, 1, 8, 1)",169
PABA-UP,synthetic_temp=3.90,dTomato,mdhA_terminator,PABA-DW,"(1, 19, 1, 9, 1)",170
