pcr_number,template,forward_primer,reverse_primer,f_tm,r_tm,promoter_index,terminator_index
PCR5,ADH1_promoter,P009,P010,67.14,66.33,1,0
PCR6,pfa2,P011,P012,68.06,67.38,1,0
PCR7,PKG1_terminator,P013,P008,68.03,68.16,1,0
PCR8,ADH1_promoter,P009,P014,67.14,66.33,1,0
PCR9,pfa3,P015,P016,67.24,67.35,1,0
PCR10,PKG1_terminator,P017,P008,68.03,68.16,1,0
PCR11,ADH1_promoter,P009,P018,67.14,66.33,1,0
PCR12,PPtase_BBa_K5300011,P019,P020,67.56,67.8,1,0
PCR13,PKG1_terminator,P021,P022,68.03,68.16,1,0
PCR14,PABA-DW,P023,P024,66.81,66.98,1,0
PCR1,PABA-UP,P001,P002,68.36,68.58,1,1
PCR2,ADH1_promoter,P003,P004,67.14,66.33,1,1
PCR3,pfa1,P005,P006,66.97,66.91,1,1
PCR4,TEF1_terminator,P007,P008,67.76,68.0,1,1
PCR5,ADH1_promoter,P009,P010,67.14,66.33,1,1
PCR6,pfa2,P011,P012,68.06,67.38,1,1
PCR7,TEF1_terminator,P013,P008,67.76,68.0,1,1
PCR8,ADH1_promoter,P009,P014,67.14,66.33,1,1
PCR9,pfa3,P015,P016,67.24,67.35,1,1
PCR10,TEF1_terminator,P017,P008,67.76,68.0,1,1
PCR11,ADH1_promoter,P009,P018,67.14,66.33,1,1
PCR12,PPtase_BBa_K5300011,P019,P020,67.56,67.8,1,1
PCR13,TEF1_terminator,P021,P022,67.76,68.0,1,1
PCR14,PABA-DW,P023,P024,66.81,66.98,1,1
PCR1,PABA-UP,P001,P002,68.36,68.58,2,0
PCR2,DED1_promoter,P003,P004,67.55,68.07,2,0
PCR3,pfa1,P005,P006,66.97,66.91,2,0
PCR4,PKG1_terminator,P007,P008,68.03,68.16,2,0
PCR5,DED1_promoter,P009,P010,67.55,68.07,2,0
PCR6,pfa2,P011,P012,68.06,67.38,2,0
PCR7,PKG1_terminator,P013,P008,68.03,68.16,2,0
PCR8,DED1_promoter,P009,P014,67.55,68.07,2,0
PCR9,pfa3,P015,P016,67.24,67.35,2,0
PCR10,PKG1_terminator,P017,P008,68.03,68.16,2,0
PCR11,DED1_promoter,P009,P018,67.55,68.07,2,0
PCR12,PPtase_BBa_K5300011,P019,P020,67.56,67.8,2,0
PCR13,PKG1_terminator,P021,P022,68.03,68.16,2,0
PCR14,PABA-DW,P023,P024,66.81,66.98,2,0
PCR1,PABA-UP,P001,P002,68.36,68.58,2,1
PCR2,DED1_promoter,P003,P004,67.55,68.07,2,1
PCR3,pfa1,P005,P006,66.97,66.91,2,1
PCR4,TEF1_terminator,P007,P008,67.76,68.0,2,1
PCR5,DED1_promoter,P009,P010,67.55,68.07,2,1
PCR6,pfa2,P011,P012,68.06,67.38,2,1
PCR7,TEF1_terminator,P013,P008,67.76,68.0,2,1
PCR8,DED1_promoter,P009,P014,67.55,68.07,2,1
PCR9,pfa3,P015,P016,67.24,67.35,2,1
PCR10,TEF1_terminator,P017,P008,67.76,68.0,2,1
PCR11,DED1_promoter,P009,P018,67.55,68.07,2,1
PCR12,PPtase_BBa_K5300011,P019,P020,67.56,67.8,2,1
PCR13,TEF1_terminator,P021,P022,67.76,68.0,2,1
PCR14,PABA-DW,P023,P024,66.81,66.98,2,1
PCR1,PABA-UP,P001,P002,68.36,68.58,3,0
PCR2,synthetic_temp=2.50,P003,P004,67.24,67.72,3,0
PCR3,pfa1,P005,P006,66.97,66.91,3,0
PCR4,PKG1_terminator,P007,P008,68.03,68.16,3,0
PCR5,synthetic_temp=2.50,P009,P010,67.24,67.72,3,0
PCR6,pfa2,P011,P012,68.06,67.38,3,0
PCR7,PKG1_terminator,P013,P008,68.03,68.16,3,0
PCR8,synthetic_temp=2.50,P009,P014,67.24,67.72,3,0
PCR9,pfa3,P015,P016,67.24,67.35,3,0
PCR10,PKG1_terminator,P017,P008,68.03,68.16,3,0
PCR11,synthetic_temp=2.50,P009,P018,67.24,67.72,3,0
PCR12,PPtase_BBa_K5300011,P019,P020,67.56,67.8,3,0
PCR13,PKG1_terminator,P021,P022,68.03,68.16,3,0
PCR14,PABA-DW,P023,P024,66.81,66.98,3,0
PCR1,PABA-UP,P001,P002,68.36,68.58,3,1
PCR2,synthetic_temp=2.50,P003,P004,67.24,67.72,3,1
PCR3,pfa1,P005,P006,66.97,66.91,3,1
PCR4,TEF1_terminator,P007,P008,67.76,68.0,3,1
PCR5,synthetic_temp=2.50,P009,P010,67.24,67.72,3,1
PCR6,pfa2,P011,P012,68.06,67.38,3,1
PCR7,TEF1_terminator,P013,P008,67.76,68.0,3,1
PCR8,synthetic_temp=2.50,P009,P014,67.24,67.72,3,1
PCR9,pfa3,P015,P016,67.24,67.35,3,1
PCR10,TEF1_terminator,P017,P008,67.76,68.0,3,1
PCR11,synthetic_temp=2.50,P009,P018,67.24,67.72,3,1
PCR12,PPtase_BBa_K5300011,P019,P020,67.56,67.8,3,1
PCR13,TEF1_terminator,P021,P022,67.76,68.0,3,1
PCR14,PABA-DW,P023,P024,66.81,66.98,3,1
